genus_name,expected_dna_fraction,"KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers","KmerFormer 13-mer exact, 16 l.","KmerFormer 13-mer hashed d128, 1 l.","KmerFormer 13-mer hashed d128, 16 l.","KmerFormer 13-mer hashed d64, 16 l.",MetaTransformer 13-mer,MetaTransformer 6-mer,NT-v2 500M + LoRA,Kraken 2 + Bracken
Bacteroides,0.0956176243267697,0.09410733333333333,0.09349766666666667,0.091087,0.08266466666666666,0.11610766666666666,0.0981,0.09584233333333333,0.10357,0.09781866666666666,0.098055,0.10923
Barnesiella,0.0,0.000304,0.000388,0.000438,0.0003863333333333333,5.3666666666666666e-05,0.000311,7.6e-05,0.00019733333333333332,0.00020033333333333334,0.000268,0.0001
Bifidobacterium,0.0386624483583943,0.018788,0.021107,0.022568666666666667,0.019609666666666668,0.021605,0.019113666666666668,0.020359,0.025156666666666667,0.015627333333333333,0.021337333333333333,0.00835
Blastococcus,0.0,2.3e-05,1.6666666666666667e-05,1.9666666666666666e-05,7.266666666666667e-05,6.733333333333333e-05,7.866666666666666e-05,5.333333333333333e-05,9.4e-05,4.7e-05,1.3333333333333333e-05,0.0
Blautia,0.093498496064484,0.07560133333333334,0.07652033333333333,0.07732566666666667,0.06666833333333333,0.06789033333333333,0.068093,0.06509666666666666,0.08363533333333334,0.08116266666666666,0.07624033333333333,0.12131
Brachyspira,0.0,0.00015466666666666667,0.00017166666666666667,0.00017066666666666668,0.000167,1.8e-05,2.8666666666666668e-05,4.8e-05,8e-06,0.0007413333333333333,0.00013133333333333335,0.0
Brevibacterium,0.0,6.3e-05,4.5333333333333335e-05,4.1e-05,0.00010333333333333333,4.1666666666666665e-05,7.633333333333334e-05,9.333333333333333e-05,6.2e-05,3.8e-05,4.5333333333333335e-05,0.0
Butyricicoccus,0.0,0.0007833333333333334,0.0008493333333333333,0.0009323333333333333,0.0013446666666666668,0.0004516666666666667,0.00049,0.0010923333333333334,0.000302,0.0012603333333333334,0.000779,0.00074
Butyricimonas,0.0,0.006625666666666667,0.006370333333333334,0.006210666666666666,0.002496,0.000862,0.002583666666666667,0.001139,0.002746,0.005062333333333334,0.006149333333333333,0.00049
Butyrivibrio,0.0,0.0005446666666666667,0.000666,0.0007333333333333333,0.0020643333333333334,0.0012576666666666667,0.0008473333333333333,0.0007233333333333333,0.0025633333333333333,6.2e-05,0.00047033333333333335,0.00368
