# The 1,316 of the catalogue's 1,535 species that are present in the
# Kraken 2 index used for the coverage-matched comparison. The other 219
# are GCF accessions whose FASTAs were not available locally when the
# index was built, so reads from them cannot be classified and are
# excluded from read-accuracy comparisons against Kraken 2.
#
# Keyed by species_name, which is pool-independent: the same list masks
# either 100K pool. species_class here is the catalogue index and is NOT
# the same numbering as a pool's species_class column -- join on the name.
species_name	species_class	genus_name
UMGS163	716	Megasphaera
UMGS1630	717	Clostridium
UMGS1631	718	Collinsella
UMGS1632	719	Eggerthella
UMGS1635	720	Prevotella
UMGS1637	721	Eubacterium
UMGS1638	722	Collinsella
UMGS1639	723	Butyricicoccus
UMGS164	724	Collinsella
UMGS1640	725	Clostridium
UMGS1641	726	Ruminococcus
UMGS1642	727	Clostridium
UMGS1644	728	Slackia
UMGS1645	729	Prevotella
UMGS1646	730	Bacteroides
UMGS1647	731	Bacteroides
UMGS1649	732	Clostridium
UMGS1650	733	Clostridium
UMGS1652	734	Clostridium
UMGS1653	735	Slackia
UMGS1654	736	Bacteroides
UMGS1659	737	Ruminococcus
UMGS166	738	Porphyromonas
UMGS1660	739	Clostridium
UMGS1662	740	Ruminococcus
UMGS1663	741	Clostridium
UMGS1666	742	Clostridium
UMGS1667	743	Collinsella
UMGS1669	744	Clostridium
UMGS1672	745	Clostridium
UMGS1673	746	Clostridium
UMGS1674	747	Prevotella
UMGS1675	748	Clostridium
UMGS1677	749	Clostridium
UMGS1678	750	Selenomonas
UMGS1680	751	Collinsella
UMGS1681	752	Clostridium
UMGS1683	753	Collinsella
UMGS1684	754	Prevotella
UMGS1687	755	Butyrivibrio
UMGS1689	756	Clostridium
UMGS169	757	Clostridium
UMGS1693	758	Megasphaera
UMGS1694	759	Dialister
UMGS1695	760	Collinsella
UMGS1697	761	Bacteroides
UMGS1699	762	Clostridium
UMGS17	763	Clostridium
UMGS170	764	Phyllobacterium
UMGS1701	765	Collinsella
UMGS1705	766	Clostridium
UMGS1706	767	Collinsella
UMGS1710	768	Bacteroides
UMGS1711	769	Clostridium
UMGS1712	770	Phascolarctobacterium
UMGS1716	771	Fusobacterium
UMGS1717	772	Oscillibacter
UMGS1718	773	Sutterella
UMGS1719	774	Actinomyces
UMGS1720	775	Collinsella
UMGS1721	776	Collinsella
UMGS1724	777	Collinsella
UMGS1726	778	Collinsella
UMGS1727	779	Acidaminococcus
UMGS1729	780	Collinsella
UMGS173	781	Eubacterium
UMGS1731	782	Actinomyces
UMGS1732	783	Collinsella
UMGS1733	784	Prevotella
UMGS1734	785	Clostridium
UMGS1737	786	Solobacterium
UMGS1738	787	Faecalibacterium
UMGS1740	788	Clostridium
UMGS1741	789	Prevotella
UMGS1742	790	Collinsella
UMGS1743	791	Collinsella
UMGS1745	792	Cryptobacterium
UMGS1747	793	Collinsella
UMGS1749	794	Sutterella
UMGS175	795	Anaerotruncus
UMGS1752	796	Solobacterium
UMGS1753	797	Leuconostoc
UMGS1754	798	Clostridium
UMGS1755	799	Collinsella
UMGS1756	800	Faecalibacterium
UMGS1759	801	Roseburia
UMGS176	802	Ruminococcus
UMGS1761	803	Clostridium
UMGS1762	804	Prevotella
UMGS1763	805	Collinsella
UMGS1764	806	Megamonas
UMGS1765	807	Fusobacterium
UMGS1767	808	Collinsella
UMGS1769	809	Porphyromonas
UMGS177	810	Anaerotruncus
UMGS1771	811	Ruminococcus
UMGS1778	812	Ruminococcus
UMGS1779	813	Collinsella
UMGS178	814	Prevotella
UMGS1781	815	Clostridium
UMGS1782	816	Clostridium
UMGS1784	817	Clostridium
UMGS1786	818	Blautia
UMGS1787	819	Prevotella
UMGS1788	820	Clostridium
UMGS1790	821	Collinsella
UMGS1794	822	Streptococcus
UMGS1795	823	Clostridium
UMGS1796	824	Clostridium
UMGS18	825	Porphyromonas
UMGS1800	826	Collinsella
UMGS1801	827	Prevotella
UMGS1806	828	Roseburia
UMGS1807	829	Dialister
UMGS1808	830	Clostridium
UMGS1809	831	Fusobacterium
UMGS181	832	Akkermansia
UMGS1811	833	Ruminococcus
UMGS1816	834	Collinsella
UMGS1817	835	Atopobium
UMGS1818	836	Pseudomonas
UMGS182	837	Bacteroides
