level	model	genus	n_reads	read_acc	n_training_species_in_genus	mean_max_ani
L1_strain	nt_v9	Collinsella	5000	0.9584	349	95.02
L1_strain	nt_v9	Desulfovibrio	10000	0.6155	18	96.38500000000002
L1_strain	nt_v9	Dialister	5000	0.606	17	96.91999999999997
L1_strain	nt_v9	Dorea	9999	0.1254125412541254	7	98.21333333333334
L1_strain	nt_v9	Eggerthella	5000	0.308	20	98.86
L1_strain	nt_v9	Enterobacter	10000	0.413	6	98.865
L1_strain	nt_v9	Enterococcus	10000	0.491	9	97.4575
L1_strain	nt_v9	Eubacterium	5000	0.4206	29	98.93
L1_strain	nt_v9	Faecalibacterium	10000	0.5856	13	97.218
L1_strain	nt_v9	Finegoldia	5000	0.1776	3	97.60000000000001
L1_strain	nt_v9	Franconibacter	5000	0.2124	1	98.98
L1_strain	nt_v9	Fusobacterium	10000	0.4113	26	97.47
L1_strain	nt_v9	Klebsiella	10000	0.4155	6	97.29
L1_strain	nt_v9	Lachnospira	5000	0.4308	6	95.58000000000003
L1_strain	nt_v9	Lactobacillus	5000	0.6	25	98.44
L1_strain	nt_v9	Leuconostoc	10000	0.226	3	97.65499999999997
L1_strain	nt_v9	Listeria	5000	0.1346	1	98.75
L1_strain	nt_v9	Massiliomicrobiota	9999	0.17501750175017503	1	98.30333333333334
L1_strain	nt_v9	Megasphaera	10000	0.543	13	97.7375
L1_strain	nt_v9	Negativicoccus	5000	0.3928	1	97.59000000000002
L1_strain	nt_v9	Odoribacter	5000	0.338	7	98.44
L1_strain	nt_v9	Pantoea	5000	0.3406	4	98.89
L1_strain	nt_v9	Parabacteroides	10000	0.2115	16	97.816
L1_strain	nt_v9	Paraprevotella	10000	0.1139	4	98.30000000000003
L1_strain	nt_v9	Pediococcus	5000	0.2616	1	97.34000000000002
L1_strain	nt_v9	Peptoniphilus	10000	0.5739	9	96.60499999999998
L1_strain	nt_v9	Phascolarctobacterium	5000	0.534	16	98.88
L1_strain	nt_v9	Phyllobacterium	5000	0.2134	1	96.99
L1_strain	nt_v9	Porphyromonas	5000	0.5604	12	97.33000000000003
L1_strain	nt_v9	Proteus	5000	0.1016	1	98.97000000000003
L1_strain	nt_v9	Providencia	5000	0.4388	5	98.65999999999998
L1_strain	nt_v9	Ralstonia	5000	0.2124	1	95.71000000000001
L1_strain	nt_v9	Roseburia	10000	0.3004	15	98.705
L1_strain	nt_v9	Ruminococcus	5000	0.7078	64	97.88
L1_strain	nt_v9	Sneathia	5000	0.0136	1	98.63
L1_strain	nt_v9	Sutterella	5000	0.519	28	98.14
L1_strain	nt_v9	Veillonella	9999	0.742074207420742	22	95.92
L1_strain	nt_v9	Weissella	5000	0.0814	1	97.49
L1_strain	kraken2	Achromobacter	5000	0.881	1	98.47000000000003
L1_strain	kraken2	Acidaminococcus	5000	0.7434	7	97.40999999999998
L1_strain	kraken2	Adlercreutzia	5000	0.6494	1	96.07
L1_strain	kraken2	Alistipes	9999	0.8204820482048205	38	98.41
L1_strain	kraken2	Anaeromassilibacillus	10000	0.8141	3	98.795
L1_strain	kraken2	Anaerosporobacter	5000	0.7362	1	95.15999999999998
L1_strain	kraken2	Bacillus	5000	0.858	11	97.39999999999999
L1_strain	kraken2	Bacteroides	9996	0.6612645058023209	79	97.11833333333334
L1_strain	kraken2	Barnesiella	10000	0.8281	3	98.75
L1_strain	kraken2	Bifidobacterium	5000	0.6842	14	95.04999999999998
L1_strain	kraken2	Blautia	10000	0.739	46	98.34
L1_strain	kraken2	Butyricicoccus	5000	0.7538	7	97.99
L1_strain	kraken2	Butyricimonas	5000	0.8258	6	98.73
L1_strain	kraken2	Catenibacterium	5000	0.7474	3	96.84000000000002
L1_strain	kraken2	Citrobacter	5000	0.7824	3	97.14999999999999
L1_strain	kraken2	Collinsella	5000	0.1992	349	95.02
L1_strain	kraken2	Desulfovibrio	10000	0.8	18	96.38500000000002
L1_strain	kraken2	Dialister	5000	0.8542	17	96.91999999999997
L1_strain	kraken2	Dorea	9999	0.6824682468246824	7	98.21333333333334
L1_strain	kraken2	Eggerthella	5000	0.8582	20	98.86
L1_strain	kraken2	Enterobacter	10000	0.898	6	98.865
L1_strain	kraken2	Enterococcus	10000	0.802	9	97.4575
L1_strain	kraken2	Eubacterium	5000	0.3844	29	98.93
L1_strain	kraken2	Faecalibacterium	10000	0.7414	13	97.218
L1_strain	kraken2	Finegoldia	5000	0.7466	3	97.60000000000001
L1_strain	kraken2	Franconibacter	5000	0.6542	1	98.98
L1_strain	kraken2	Fusobacterium	10000	0.8829	26	97.47
L1_strain	kraken2	Klebsiella	10000	0.8491	6	97.29
L1_strain	kraken2	Lachnospira	5000	0.6364	6	95.58000000000003
L1_strain	kraken2	Lactobacillus	5000	0.7946	25	98.44
L1_strain	kraken2	Leuconostoc	10000	0.7759	3	97.65499999999997
L1_strain	kraken2	Listeria	5000	0.9304	1	98.75
L1_strain	kraken2	Massiliomicrobiota	9999	0.755075507550755	1	98.30333333333334
L1_strain	kraken2	Megasphaera	10000	0.8401	13	97.7375
L1_strain	kraken2	Negativicoccus	5000	0.8232	1	97.59000000000002
L1_strain	kraken2	Odoribacter	5000	0.7442	7	98.44
L1_strain	kraken2	Pantoea	5000	0.6136	4	98.89
L1_strain	kraken2	Parabacteroides	10000	0.742	16	97.816
L1_strain	kraken2	Paraprevotella	10000	0.8331	4	98.30000000000003
L1_strain	kraken2	Pediococcus	5000	0.8184	1	97.34000000000002
L1_strain	kraken2	Peptoniphilus	10000	0.8207	9	96.60499999999998
L1_strain	kraken2	Phascolarctobacterium	5000	0.8112	16	98.88
L1_strain	kraken2	Phyllobacterium	5000	0.7946	1	96.99
L1_strain	kraken2	Porphyromonas	5000	0.693	12	97.33000000000003
L1_strain	kraken2	Proteus	5000	0.8902	1	98.97000000000003
L1_strain	kraken2	Providencia	5000	0.9082	5	98.65999999999998
L1_strain	kraken2	Ralstonia	5000	0.795	1	95.71000000000001
L1_strain	kraken2	Roseburia	10000	0.7057	15	98.705
L1_strain	kraken2	Ruminococcus	5000	0.796	64	97.88
L1_strain	kraken2	Sneathia	5000	0.8868	1	98.63
L1_strain	kraken2	Sutterella	5000	0.8944	28	98.14
L1_strain	kraken2	Veillonella	9999	0.8171817181718172	22	95.92
L1_strain	kraken2	Weissella	5000	0.8228	1	97.49
L1_strain	nb_13mer	Achromobacter	264	0.06060606060606061	1	98.47000000000001
L1_strain	nb_13mer	Acidaminococcus	302	0.6125827814569537	7	97.40999999999997
L1_strain	nb_13mer	Adlercreutzia	288	0.17708333333333334	1	96.07
L1_strain	nb_13mer	Alistipes	543	0.8158379373848987	38	98.39906077348067
L1_strain	nb_13mer	Anaeromassilibacillus	523	0.39579349904397704	3	98.79523900573612
L1_strain	nb_13mer	Anaerosporobacter	290	0.1482758620689655	1	95.15999999999998
L1_strain	nb_13mer	Bacillus	261	0.19540229885057472	11	97.4
L1_strain	nb_13mer	Bacteroides	570	0.5859649122807018	79	97.15482456140352
L1_strain	nb_13mer	Barnesiella	556	0.4694244604316547	3	98.75143884892087
L1_strain	nb_13mer	Bifidobacterium	272	0.6948529411764706	14	95.04999999999998
L1_strain	nb_13mer	Blautia	535	0.6766355140186916	46	98.33145794392523
L1_strain	nb_13mer	Butyricicoccus	261	0.5019157088122606	7	97.99
L1_strain	nb_13mer	Butyricimonas	297	0.5791245791245792	6	98.73
L1_strain	nb_13mer	Catenibacterium	276	0.5362318840579711	3	96.84000000000002
L1_strain	nb_13mer	Citrobacter	270	0.5481481481481482	3	97.15
L1_strain	nb_13mer	Collinsella	291	0.9037800687285223	349	95.02
L1_strain	nb_13mer	Desulfovibrio	541	0.7356746765249538	18	96.39465804066545
L1_strain	nb_13mer	Dialister	299	0.7625418060200669	17	96.91999999999999
L1_strain	nb_13mer	Dorea	548	0.4051094890510949	7	98.29160583941606
L1_strain	nb_13mer	Eggerthella	264	0.20454545454545456	20	98.85999999999997
L1_strain	nb_13mer	Enterobacter	532	0.6597744360902256	6	98.86830827067669
L1_strain	nb_13mer	Enterococcus	570	0.5631578947368421	9	97.51622807017544
L1_strain	nb_13mer	Eubacterium	282	0.549645390070922	29	98.93
L1_strain	nb_13mer	Faecalibacterium	557	0.748653500897666	13	97.18475763016157
L1_strain	nb_13mer	Finegoldia	263	0.21292775665399238	3	97.60000000000001
L1_strain	nb_13mer	Franconibacter	267	0.2546816479400749	1	98.98
L1_strain	nb_13mer	Fusobacterium	572	0.8286713286713286	26	97.48510489510488
L1_strain	nb_13mer	Klebsiella	557	0.6319569120287253	6	97.2871813285458
L1_strain	nb_13mer	Lachnospira	286	0.5874125874125874	6	95.58000000000001
L1_strain	nb_13mer	Lactobacillus	259	0.6988416988416989	25	98.44000000000001
L1_strain	nb_13mer	Leuconostoc	541	0.47504621072088726	3	97.69268022181144
L1_strain	nb_13mer	Listeria	277	0.4007220216606498	1	98.75
L1_strain	nb_13mer	Massiliomicrobiota	549	0.15482695810564662	1	98.301985428051
L1_strain	nb_13mer	Megasphaera	545	0.7045871559633028	13	97.7865504587156
L1_strain	nb_13mer	Negativicoccus	258	0.6627906976744186	1	97.59
L1_strain	nb_13mer	Odoribacter	262	0.42366412213740456	7	98.44
L1_strain	nb_13mer	Pantoea	287	0.4912891986062718	4	98.89000000000001
L1_strain	nb_13mer	Parabacteroides	541	0.4787430683918669	16	97.78149722735675
L1_strain	nb_13mer	Paraprevotella	565	0.4778761061946903	4	98.27801769911505
L1_strain	nb_13mer	Pediococcus	259	0.5521235521235521	1	97.34
L1_strain	nb_13mer	Peptoniphilus	526	0.6749049429657795	9	96.60731939163497
L1_strain	nb_13mer	Phascolarctobacterium	264	0.6856060606060606	16	98.88000000000001
L1_strain	nb_13mer	Phyllobacterium	258	0.12015503875968993	1	96.99
L1_strain	nb_13mer	Porphyromonas	266	0.5977443609022557	12	97.33
L1_strain	nb_13mer	Proteus	294	0.3843537414965986	1	98.97000000000003
L1_strain	nb_13mer	Providencia	241	0.4979253112033195	5	98.66000000000001
